#####################################################################
# Alchemist log file - simulation started at: 2024-02-26T16:24+0000 #
#####################################################################
#
# 
#
# The columns have the following meaning: 
# time TrainLoss[min] TrainLoss[max] TrainLoss[mean] ValidationLoss[min] ValidationLoss[max] ValidationLoss[mean] 
0.0 NaN NaN NaN NaN NaN NaN
1.0 27.057911619848134 2801.0484269827857 257.72842560765366 6.307435909907023 3471.971540771212 403.0952249907454
2.0 5.685847856522609 2437.6237011743974 151.5812659004582 3.856868092104685 2760.0060221354165 316.495786964541
3.0 3.6057922676070864 2899.3775320762447 127.06602214201958 2.996682536634181 2627.555704752604 280.96937292980414
4.0 3.1180683906248063 3586.947995903079 117.08995460005376 2.7870391697334727 2505.3646647135415 257.5929783377479
5.0 2.982857930093565 2577.4396107255916 107.87628919215027 2.3683140634847204 2385.9881184895835 239.03584887725003
6.0 3.4978646691180657 3787.3671539637667 110.5911430454115 2.9307660767071537 2498.4254150390625 223.19522261619284
7.0 3.080583743570868 2349.1770893286084 95.6525887456328 2.541947476405034 2380.718465169271 206.2969849457307
8.0 2.836316554346902 1916.9691301771434 85.89021622693068 2.4178517044876977 2266.406046549479 192.47281992505438
9.0 2.7754610681271146 2402.7770045414445 78.7205627963911 2.368475809264526 2156.717244466146 181.81723496726062
10.0 2.7754610681271146 2349.681383369383 79.32003002022377 2.652272095354341 2052.0080769856772 170.04576326250384
11.0 3.10055548841889 2724.9528976944853 88.67662272163602 2.8064000229183717 1964.1233723958333 184.26557075965295
12.0 2.8891842192378046 3531.668664758856 88.60451164838364 2.7238163540153195 1865.8841349283855 170.64941029772
13.0 2.8288368355092035 2107.6462465711866 75.03458129083312 2.4065823854087927 1785.9688517252605 161.2085471022481
14.0 2.877125445021968 2712.621063248185 72.99762400715404 2.3840295556637883 1712.8283081054688 152.67591258111395
15.0 2.782938061449329 2855.6660722464567 73.2924070439702 2.164713163277228 1644.1514383951824 147.0696041109775
16.0 2.926215600771431 2692.215316677882 75.371777095238 2.8622798110298118 1818.2503662109375 154.24134546586805
17.0 2.8074799901100445 2673.2248384459945 69.53010530228623 2.558839593940287 1711.3524983723958 145.53851390814188
18.0 2.8229457655099877 2502.1188276306657 66.33739924653315 2.1923520902855147 1611.3841552734375 137.13210494510764
19.0 2.863534557614735 3823.3503162289458 75.79277047330972 2.4295197206971455 1516.8531087239583 132.43499655790038
20.0 2.8473740036673747 2835.5681146353727 67.55807175605389 2.265583266805616 1426.0923665364583 127.51453941538367
21.0 2.905668297451418 2712.8059261258963 74.14149105412666 2.6493190665789643 1538.6991677028793 134.5417746467365
22.0 2.859524815057343 2368.391455705501 67.75756457916498 2.4299537839381387 1315.3126690013069 127.20230669865121
23.0 2.803130175752327 2840.45082199475 66.2994209739861 2.316643106208431 1231.0343424479167 121.94550683581414
24.0 2.713135195801994 2030.5099031747864 59.54197422329902 2.140482395404963 1240.6901286806378 118.89945120191307
25.0 2.7309888384114034 2995.5015765576322 61.81188427010255 2.418118142100761 1171.1615150962557 115.05380246732743
26.0 3.0253231815344708 2541.994743804301 72.46759781687571 2.5397529633139535 1690.4238414713316 131.30951002322593
27.0 2.77350775122449 3028.098068647148 65.95223782430097 2.2630077666140718 1612.2781880696614 125.16727461672721
28.0 2.7987168354299086 2196.846024190099 61.17252187971732 2.9587122920176965 1556.7453002929688 120.17993759179046
